n_layer1;n_kernel1;n_layer2;n_kernel2;n_pool1;dropout_1;dropout_2;dense1;dense2;act;optim;n_batch;best_val_acc
38;(4, 4);58;(3, 3);(3, 3);0.10002602144342262;0.43864299204390866;200;60;relu;rmsprop;32;0.7526000142097473
38;(4, 4);62;(3, 3);(3, 3);0.14642832678108245;0.4197339874264598;200;60;relu;rmsprop;32;0.7113000154495239
38;(4, 4);50;(3, 3);(3, 3);0.10993741455476949;0.44753885142429223;200;60;relu;rmsprop;32;0.7239999771118164
38;(4, 4);68;(3, 3);(3, 3);0.1639784643774204;0.4110446340657749;200;60;relu;rmsprop;32;0.738099992275238
38;(4, 4);62;(3, 3);(3, 3);0.12550255401702737;0.35599856751023723;200;60;relu;rmsprop;32;0.7358999848365784
32;(4, 4);68;(3, 3);(3, 3);0.11715639732055567;0.37610905032465114;200;60;relu;rmsprop;32;0.7526999711990356
14;(4, 4);64;(3, 3);(3, 3);0.10415070370262908;0.3151185120198476;160;60;relu;rmsprop;32;0.7487000226974487
38;(4, 4);62;(3, 3);(3, 3);0.18008897843546895;0.45698882131449486;180;60;relu;rmsprop;8;0.6643000245094299
38;(4, 4);54;(3, 3);(3, 3);0.11330431163041241;0.4020752589973082;200;60;relu;rmsprop;32;0.7439000010490417
8;(4, 4);62;(3, 3);(3, 3);0.12823436583175643;0.39950234724857936;180;60;relu;rmsprop;32;0.6938999891281128
26;(4, 4);58;(3, 3);(3, 3);0.15402957376376464;0.4079932417382027;100;60;relu;rmsprop;24;0.7437000274658203
38;(3, 3);68;(3, 3);(3, 3);0.1734962613046671;0.3890624872194683;200;60;relu;rmsprop;16;0.7372000217437744
20;(5, 5);62;(3, 3);(2, 2);0.1902602923992455;0.4353433185222596;180;100;relu;rmsprop;24;0.7203999757766724
38;(4, 4);50;(4, 4);(3, 3);0.16918914056359619;0.4173371771247541;160;80;relu;rmsprop;32;0.6984999775886536
32;(4, 4);62;(3, 3);(3, 3);0.13859113454847774;0.3813895302057009;130;60;relu;rmsprop;32;0.7285000085830688
14;(4, 4);62;(4, 4);(3, 3);0.13251898282792687;0.4312291752365734;180;60;leakyrelu;sgd;8;0.6765999794006348
38;(4, 4);64;(3, 3);(3, 3);0.14707924373870782;0.40547320660894903;200;60;relu;rmsprop;24;0.6428999900817871
38;(3, 3);54;(3, 3);(2, 2);0.18514044523617332;0.45054350435195045;180;100;relu;rmsprop;32;0.7013000249862671
8;(4, 4);62;(4, 4);(3, 3);0.2799403594706146;0.45942789121417266;100;60;relu;rmsprop;16;0.6722000241279602
38;(4, 4);68;(3, 3);(3, 3);0.12221220149517764;0.3681325480324375;200;60;relu;rmsprop;32;0.7182999849319458
26;(5, 5);62;(3, 3);(3, 3);0.19661151052226492;0.3959849685181401;180;80;leakyrelu;sgd;24;0.6313999891281128
38;(4, 4);58;(4, 4);(3, 3);0.1628177382520174;0.426448468537148;130;60;relu;rmsprop;32;0.6761000156402588
20;(4, 4);50;(3, 3);(2, 2);0.15836798034641886;0.46390961809532055;160;60;relu;rmsprop;8;0.729200005531311
32;(4, 4);62;(4, 4);(3, 3);0.13818923110737796;0.4788435744744447;180;60;relu;rmsprop;32;0.703000009059906
38;(3, 3);62;(3, 3);(3, 3);0.17713800086962309;0.46942892861971947;200;100;relu;rmsprop;24;0.6983000040054321
38;(4, 4);68;(3, 3);(3, 3);0.11904049703095625;0.3529886381944627;200;60;relu;rmsprop;32;0.762499988079071
14;(5, 5);64;(3, 3);(3, 3);0.1087738565309316;0.3270368451089398;180;80;leakyrelu;rmsprop;16;0.6326000094413757
38;(4, 4);54;(4, 4);(3, 3);0.11767388887205486;0.3387184608619414;100;60;relu;sgd;32;0.7214000225067139
8;(4, 4);68;(3, 3);(3, 3);0.11396464039372116;0.33267500180311477;200;60;relu;rmsprop;24;0.695900022983551
